Unternehmen,Plattform,Handle
450connect GmbH,X,450connect
50Hertz Transmission GmbH,Facebook,50hertztransmission
A.T. Kearney GmbH,X,kearney
A/V/E GmbH,Facebook,avegmbhhalle
ABO Energy GmbH & Co. KGaA,Facebook,aboenergykgaa
adesso business consulting AG,Facebook,adessobusinessconsulting
AFRY Management Consulting GmbH,Facebook,afryofficial
Aggerverband,Facebook,aggerverband
Albwerk GmbH & Co. KG,Facebook,albwerk
Allego GmbH,Facebook,allegocharging
Allgäuer Kraftwerke GmbH,Facebook,allgaeukraft
Allgäuer Überlandwerk GmbH,Facebook,allgaeuerueberlandwerk
Alpiq AG,Facebook,alpiq
Alpiq Energie Deutschland GmbH,Facebook,alpiq
Alterric Deutschland GmbH,Facebook,alterric
Amprion GmbH,X,amprionme
AMRUM-Offshore West GmbH,Instagram,rwe.global
ArcMind Technologies GmbH,Instagram,arcmind_technologies
ARGE Netz GmbH & Co. KG,X,argenetz
Arvato Systems Digital GmbH,X,arvatosystemsde
Avacon AG,Facebook,avacongruppe
Avacon Hochdrucknetz GmbH,Facebook,avacongruppe
Avacon Netz GmbH,Facebook,avacongruppe
Avacon Wasser GmbH,Facebook,avacongruppe
AVIA Deutschland GmbH,Facebook,avia.racing.team
AVU Aktiengesellschaft für Versorgungs-Unternehmen,Facebook,avu.heimatvorteil
AVU Netz GmbH,Facebook,avu.heimatvorteil
Axpo Deutschland GmbH,Facebook,axpoch
Axpo Solar Deutschland GmbH,Instagram,axpogroup
Bad Honnef AG,Instagram,meine_bhag
Bad Soden-Salmünster Stadtwerke/Wasserversorgung,Facebook,badsodensalmuenster
badenova AG & Co. KG,Facebook,badenovaag
badenova Energie GmbH,Instagram,badenova_official
badenova WärmePlus GmbH & Co. KG,Instagram,badenova_official
badenovaNETZE GmbH,Instagram,badenova_official
Bau- und Liegenschaftsbetrieb NRW,Facebook,blbnrw
BauMineral GmbH,Facebook,baumineral.de
Bayerische Rhöngas GmbH,Facebook,rhoengas
Bayernwerk AG,Facebook,bayernwerkgruppe
Bayernwerk AG,Facebook,bayernwerkgruppe
Bayernwerk Natur GmbH,Facebook,bayernwerkag
Bayernwerk Netz GmbH,Facebook,bayernwerkag
BayWa r.e. AG,Facebook,bwre.global
BayWa r.e. AG,Facebook,bwre.global
BayWa r.e. Energy Trading GmbH,X,bwre_global
be.storaged GmbH,X,bestoraged
beegy GmbH,Facebook,betterenergy
BELECTRIC GmbH,X,belectricenergy
Berliner Stadtwerke EnergiePartner GmbH,Facebook,berlinerstadtwerke
Berliner Stadtwerke GmbH,Facebook,berlinerstadtwerke
Berliner Stadtwerke KommunalPartner GmbH,Facebook,berlinerstadtwerke
Berliner Wasserbetriebe,Facebook,wasserbetriebe
BeSte Stadtwerke GmbH,Facebook,bestestadtwerke
BEW Bergische Energie- und Wasser-GmbH,Facebook,bergischeenergie
BEW Berliner Energie und Wärme GmbH,Instagram,bew_berlin
BEW Netze GmbH,Facebook,bergischeenergie
BEW Solutions GmbH,Instagram,bew_berlin
Bielefelder Netz GmbH,Facebook,stadtwerke.bielefeld
BKW Bad Wildunger Kraftwagenverkehrs- und Wasserversorgungsgesellschaft mbH,Facebook,bkwreisen
BKW Energie AG,Facebook,teambkw
BKW Infra Services Europa SE,Facebook,teambkw
Blomberger Versorgungsbetriebe GmbH,Facebook,bvb.blomberg
Bocholter Energie- und Wasserversorgung GmbH,Facebook,wattextra
Bosch Thermotechnik GmbH,Facebook,boschhomecomfortde
BP Europa SE,Facebook,bp
Braunschweiger Versorgungs-AG & Co. KG,Facebook,bs.energy
BRAWAG GmbH Wasser- und Abwassergesellschaft Brandenburg an der Havel,Instagram,brawag_wasser_abwasser
Bremer Energiehaus-Genossenschaft eG,Facebook,benergie.bremen
BTC Business Technology Consulting AG,Facebook,btcag
Burgenland Energie GmbH,Facebook,stadtwerkezeitz
C. Ensinger GmbH & Co. KG,Facebook,ensinger.mineralwasser
Celle-Uelzen Netz GmbH,Facebook,netzbetreiber
Centrica Energy Trading GmbH,X,centricaplc
CEZ Deutschland GmbH,Facebook,skupinacez
"CEZ, a.s.",Facebook,skupinacez
chargecloud GmbH,Facebook,chargecloud
ChargePoint Germany GmbH,Facebook,chargepoint
Citadel Investment Group (Europe) Limited,Instagram,citadel
City-USE GmbH & Co.KG,Instagram,city_use_energy
CKW AG,X,ckw_luzern
collect Artificial Intelligence GmbH,Facebook,collectai
CONUTI GmbH,Facebook,conuti
ConVista Consulting AG,Facebook,convista
cortility gmbh,Facebook,it.und.energie
CPM Netz GmbH,X,evonik
Cramer-Mühle GmbH & Co. KG,Facebook,cramermuehle
Cratos GmbH,Facebook,cratosgmbh
Creos Deutschland GmbH,X,creos_d
Creos Deutschland Services GmbH,X,creos_d
cronos Unternehmensberatung GmbH,Facebook,cronosgmbh
Cubos Technologies GmbH,Facebook,cubos.germany
CURSOR Software AG,Facebook,cursor.de
"Dahme-Nuthe Wasser-, Abwasserbetriebsgesellschaft mbH",Instagram,dnwab.mbh
DanTysk Sandbank Offshore Wind GmbH & Co. KG,X,vattenfall_de
DB Energie GmbH,Instagram,deutschebahn
DeESA GmbH,Facebook,deesagmbh
degewo netzWerk GmbH,Facebook,degewo.berlin
Der Magistrat der Stadt Waldeck,Facebook,waldeckedersee
Dessauer Stromversorgung GmbH,Facebook,stadtwerkedessau
Dessauer Versorgungs- und Verkehrsgesellschaft mbH DVV – Stadtwerke,Facebook,stadtwerkedessau
Dessauer Stromversorgung GmbH,Facebook,stadtwerkedessau
Deutsche Shell Holding GmbH,Facebook,shelldeutschland
DEW21 Windkraftbeteiligungsgesellschaft mbH,Facebook,dew21
Digital Charging Solutions GmbH,X,dcs_global
Dinslakener Bäder GmbH,Facebook,stadtwerkedinslaken
Donau-Stadtwerke Dillingen-Lauingen,Facebook,donaustadtwerkedillingenlauingen
Dortmunder Energie- und Wasserversorgung GmbH DEW21,Facebook,dew21
Drees & Sommer SE,X,drees_sommer
DREWAG - Stadtwerke Dresden GmbH,Facebook,drewagstadtwerke
DVGW Deutscher Verein des Gas- und Wasserfaches e.V.,Facebook,dvgw.ev
E WIE EINFACH GmbH,Facebook,ewieeinfach
e-gas GmbH,X,hy2genag
e-netz Südhessen AG,Instagram,enetzsuedhessen
e-regio GmbH & Co. KG,Facebook,eregio.energie
E-Werk Wanfried von Scharfenberg GmbH & Co KG,Facebook,ewwanfried
E.DIS AG,Facebook,ediskarriere
E.DIS Netz GmbH,Facebook,ediskarriere
E.ON Bioerdgas GmbH,Facebook,eon
E.ON Business Solutions Deutschland GmbH,Facebook,eonenergiede
