Rank,Account Handle,URL
1,Sahra Wagenknecht,https://www.facebook.com/206307219386683
2,Alice Weidel,https://www.facebook.com/1061322973878937
3,SPIEGEL.TV,https://www.facebook.com/151090388297254
4,SPD-Fraktion im Bundestag,https://www.facebook.com/144380008933707
5,Auswärtiges Amt,https://www.facebook.com/237282353035609
6,Marie-Agnes Strack-Zimmermann,https://www.facebook.com/782677895144628
7,Beatrix von Storch,https://www.facebook.com/549796328395150
8,Sevim Dagdelen,https://www.facebook.com/1753343008226103
9,Lorenz Gösta Beutin,https://www.facebook.com/704854642863982
10,FDP Hessen,https://www.facebook.com/188188564583
11,Kay-Uwe Ziegler MdB,https://www.facebook.com/1829143163972472
12,Bundesministerium für Wirtschaft und Energie,
13,RTL Aktuell,https://www.facebook.com/119845424729050
14,quer,https://www.facebook.com/103687920727
15,CDU,https://www.facebook.com/78502295414
16,stern TV,https://www.facebook.com/120409127973461
17,Philipp Amthor,https://www.facebook.com/1427167380661053
18,Sportschau,https://www.facebook.com/53288989368
19,"Andreas Bleck, MdB",https://www.facebook.com/441715872855412
20,FREIE WÄHLER Bundesvereinigung,https://www.facebook.com/204327886385912
21,SPD,https://www.facebook.com/47930567748
22,Christoph de Vries,https://www.facebook.com/101094999966880
23,Anja Weisgerber,https://www.facebook.com/123317111021370
24,Endstation Rechts.,https://www.facebook.com/364336686475
25,Der Postillon,https://www.facebook.com/268611646525
26,PHOENIX,https://www.facebook.com/124651027557566
27,Sven Teuber,https://www.facebook.com/116305959089358
28,AfD Rheinland-Pfalz,https://www.facebook.com/162707793881819
29,Junge Union Deutschlands,https://www.facebook.com/46098347293
30,DIE LINKE. Baden-Württemberg,https://www.facebook.com/167785411957
31,Reinhard Mixl - AfD,https://www.facebook.com/100415686222162
32,hr1,https://www.facebook.com/134646292352
33,tagesschau,https://www.facebook.com/193081554406
34,Deutschland Kurier,https://www.facebook.com/336677843601760
35,AfD-Fraktion im Deutschen Bundestag,https://www.facebook.com/151974798719373
36,Heimatkanal,https://www.facebook.com/385526538268960
37,AfD Fraktion Sachsen,https://www.facebook.com/706758859393635
38,AfD Hessen,https://www.facebook.com/222005461272345
39,Frank Schwabe,https://www.facebook.com/132854030244592
40,Raimond Scheirich,https://www.facebook.com/680341992382788
41,Monitor,https://www.facebook.com/186702484702033
42,Die Linke,https://www.facebook.com/47694585682
43,Prof. Matthias Moosdorf MdB,
44,Norbert Röttgen,https://www.facebook.com/358818263101
45,"Saskia Esken, SPD",https://www.facebook.com/410100252391597
46,Grüne Bremen,https://www.facebook.com/207429192606075
47,Dirk Wiese,https://www.facebook.com/369365856491724
48,Petr Bystron,https://www.facebook.com/1636160909956158
49,FDP,https://www.facebook.com/21289227249
50,AfD,https://www.facebook.com/540404695989874
51,Let's Dance,https://www.facebook.com/107044789332155
52,WELT,https://www.facebook.com/97515118114
53,ServusTV,https://www.facebook.com/248450014269
54,SAT.1 NRW,https://www.facebook.com/159957247373631
55,Landesschau Rheinland-Pfalz,https://www.facebook.com/225785584742
56,Emil Sänze MdL,https://www.facebook.com/968740273257910
57,DER SPIEGEL,https://www.facebook.com/38246844868
58,BSW,https://www.facebook.com/164629470060120
59,FDP Rheinland-Pfalz,https://www.facebook.com/189449641081486
60,Anke Rehlinger,https://www.facebook.com/371950716321791
61,Fraktion Die Linke im Bundestag,https://www.facebook.com/104432729086229
62,Siemtje Möller MdB,https://www.facebook.com/1831908787045024
63,WDR,https://www.facebook.com/124207927630198
64,HL-live.de,https://www.facebook.com/1916678428546691
65,CDU-Landtagsfraktion Rheinland-Pfalz,https://www.facebook.com/361279990712164
66,radioeins,https://www.facebook.com/94769185977
67,Thomas Erndl MdB,https://www.facebook.com/278699465908771
68,Matthias Helferich MdB,https://www.facebook.com/1385543268201303
69,Bundeswehr,https://www.facebook.com/122840837780517
70,Markus Söder,https://www.facebook.com/366343133439370
71,NDR Niedersachsen,https://www.facebook.com/175524409170116
72,FREIE WÄHLER Bayern,https://www.facebook.com/276040002549416
73,Rheinland-Pfalz,https://www.facebook.com/189617674514883
74,AfD-Fraktion im Landtag Brandenburg,https://www.facebook.com/1479344942348052
75,NIUS,https://www.facebook.com/100391972856075
76,Tagesspiegel,https://www.facebook.com/59381221492
77,SPD-Landtagsfraktion Rheinland-Pfalz,https://www.facebook.com/1401030796873711
78,Bundesministerium für Gesundheit,https://www.facebook.com/323245001172018
79,Hans-Jürgen Goßner MdB,
80,der Freitag,https://www.facebook.com/313744767921
81,ntv Nachrichten,https://www.facebook.com/126049165307
82,Rainer Kraft,https://www.facebook.com/115152229053025
83,Ralf Schönborn,https://www.facebook.com/103204458635909
84,Merkurist Mainz,https://www.facebook.com/105283144877620
85,Dr. Malte Kaufmann,https://www.facebook.com/1178633522235857
86,rbb24,https://www.facebook.com/1645763252367579
87,"Martin E. Renner, MdB",https://www.facebook.com/1166598340038556
88,MDR Sachsen-Anhalt,https://www.facebook.com/182811948434829
89,Jan Nolte,https://www.facebook.com/801630029947609
