Rank,Account Handle
1,tagesschau
2,funk
3,franziska.brantner
4,alice.weidel
5,quarks.de
6,volksverpetzer
7,faktastisch
8,afdimbundestag
9,zdfheute
10,sportschau
11,zdfinfo
12,taz.die_tageszeitung
13,afd.bund
14,jungefreiheit
15,zoe.gruene
16,christianlindner
17,diepartei
18,bild
19,gruenends
20,stuttgarternachrichten
21,ksta_koeln
22,zeit
23,markus_frohnmaier
24,kicker
25,michaeldonthmdb
26,dielinke
27,sz
28,extra3
29,toni_hofreiter
30,welt
31,sebastian.muenzenmaier.afd
32,andreasbleckmdb
33,wirtschaft.bayern
34,weltspiegel
35,rbb24
36,faz
37,hessenschau
38,lisa.paus
39,stimmeonline
40,katharina.droege
41,philipp.amthor
42,expresskoeln
43,martinsichert
44,freitag
45,stuttgarterzeitung
46,gruenebundestag
47,menschundlicht
48,dzienus
49,zdflogo
50,gruenefraktionby
51,realpostillon
52,swraktuell
53,dielinke.bw
54,cansu.oezdemir
55,spio_sportimosten
56,schwaebische.de
57,ttt_titel_thesen_temperamente
58,deutschlandfunk
59,afdnrw
60,ndr.info
61,gruenebayern
62,br24
63,aminajmina
64,monitor.wdr
65,olafscholz
66,rtlnord
67,bundespraesident.steinmeier
68,larsklingbeil
69,braunschweiger_zeitung
70,noz_de
71,buergermeister.hamburg
72,bzberlin
73,rtlaktuell
74,dorobaer
75,abendzeitung
76,heiseonline
77,haz.de
78,nouripour
79,nicolegohlke.mdb
80,badische_neueste_nachrichten
81,bodo.ramelow
82,ann.katrin.mueller
83,lvz.de
84,hoechstnicole
85,juliakloeckner
86,ostsee_zeitung
87,spdde
88,erlanger.nachrichten
89,csu
90,fdp_bw
91,karl_lauterbach_mdb
92,goettinger_tageblatt
93,juedischeallgemeine
94,spdniedersachsen
95,oezlemalevdemirel
96,anna.cavazzini
97,lausitzer_rundschau
98,dielinke.bayern
99,afd.bayern
100,karo_otte
101,merkurist.mainz
102,augsburger_allgemeine
103,misbah.s.khan
104,nw.de
105,kieler.nachrichten
106,handelsblatt
107,neuepresse
108,punkt6.rtl
109,main_echo.de
