name,channel,handle,url,category,label,rank
Sanae Abdi,x,_sanaeabdi,https://x.com/_sanaeabdi,MdB,SPD,
Sanae Abdi,facebook,sanaeabdispd,https://m.facebook.com/sanaeabdispd/,MdB,SPD,
Sanae Abdi,instagram,sanae_ccaa,https://www.instagram.com/sanae_ccaa/,MdB,SPD,567
Knut Abraham,x,Knut_Abraham,https://x.com/Knut_Abraham,MdB,CDU,
Knut Abraham,facebook,abraham.knut,https://m.facebook.com/abraham.knut,MdB,CDU,
Knut Abraham,instagram,knut_abraham_mdb,https://www.instagram.com/knut_abraham_mdb/,MdB,CDU,2813
Knut Abraham,youtube,@knutabrahammdb7342,https://www.youtube.com/@knutabrahammdb7342,MdB,CDU,
Doris Achelwilm,x,dorisachelwilm,https://x.com/dorisachelwilm,MdB,Linke,
Doris Achelwilm,facebook,doris.achelwilm.dielinke,https://m.facebook.com/doris.achelwilm.dielinke,MdB,Linke,
Doris Achelwilm,instagram,doris_achelwilm,https://www.instagram.com/doris_achelwilm,MdB,Linke,
Doris Achelwilm,youtube,UCpomrgUTAnKRONhRfJzyIfA,https://www.youtube.com/channel/UCpomrgUTAnKRONhRfJzyIfA,MdB,Linke,
Anna Aeikens,facebook,anna.aeikens,https://m.facebook.com/anna.aeikens,MdB,CDU,
Anna Aeikens,instagram,anna_aeikens,https://www.instagram.com/anna_aeikens,MdB,CDU,2853
Anna Aeikens,tiktok,@anna_aeikens,https://www.tiktok.com/@anna_aeikens,MdB,CDU,
Adis Ahmetovic,facebook,AdisAhmetovic.SPD,https://m.facebook.com/AdisAhmetovic.SPD,MdB,SPD,
Adis Ahmetovic,instagram,adis.a93,https://www.instagram.com/adis.a93,MdB,SPD,571
Gökay Akbulut,facebook,goekay.akbulut,https://m.facebook.com/goekay.akbulut,MdB,Linke,
Gökay Akbulut,instagram,g.akbulut_mdb,https://www.instagram.com/g.akbulut_mdb,MdB,Linke,2680
Gökay Akbulut,tiktok,@goekayakbulut,https://www.tiktok.com/@goekayakbulut,MdB,Linke,
Reem Alabali-Radovan,facebook,reem.alabaliradovan,https://m.facebook.com/reem.alabaliradovan,MdB,SPD,
Reem Alabali-Radovan,instagram,reem.alabaliradovan,https://www.instagram.com/reem.alabaliradovan/,MdB,SPD,574
Reem Alabali-Radovan,tiktok,@reem.alabali,https://www.tiktok.com/@reem.alabali,MdB,SPD,
Stephan Albani,facebook,StephanAlbaniMdB,https://m.facebook.com/StephanAlbaniMdB,MdB,CDU,
Stephan Albani,youtube,@stephanalbanimdb3470,https://www.youtube.com/@stephanalbanimdb3470,MdB,CDU,
Alaa Alhamwi,instagram,dr.alaa.alhamwi,https://www.instagram.com/dr.alaa.alhamwi,MdB,Grüne,424
Alaa Alhamwi,tiktok,@alhamwi.alaa,https://www.tiktok.com/@alhamwi.alaa,MdB,Grüne,
Alaa Alhamwi,youtube,@Dr.AlaaAlhamwi,https://www.youtube.com/@Dr.AlaaAlhamwi,MdB,Grüne,
Norbert Altenkamp,facebook,Norbert.Altenkamp,https://m.facebook.com/Norbert.Altenkamp,MdB,CDU,
Norbert Altenkamp,instagram,norbert.altenkamp,https://www.instagram.com/norbert.altenkamp,MdB,CDU,576
Norbert Altenkamp,youtube,@norbertaltenkampmdb5174,https://www.youtube.com/@norbertaltenkampmdb5174,MdB,CDU,
Tarek Al-Wazir,x,talwazir,https://x.com/talwazir/,MdB,Grüne,
Tarek Al-Wazir,facebook,tarekalwazir.gruene,https://m.facebook.com/tarekalwazir.gruene,MdB,Grüne,
