Stiftung,Partei,Instagram_Handle,Instagram_URL,Facebook_Handle,Facebook_URL,X_Twitter_Handle,X_Twitter_URL
Konrad-Adenauer-Stiftung (KAS),CDU,@onlinekas,https://www.instagram.com/onlinekas/,kasfb,https://www.facebook.com/kasfb,@KASonline,https://x.com/KASonline
Friedrich-Ebert-Stiftung (FES),SPD,@fesonline,https://www.instagram.com/fesonline/,FES.online,https://www.facebook.com/FES.online,@FESonline,https://x.com/fesonline
Friedrich-Naumann-Stiftung für die Freiheit (FNF),FDP,@stiftungfuerdiefreiheit,https://www.instagram.com/stiftungfuerdiefreiheit/,FriedrichNaumannStiftungFreiheit,https://www.facebook.com/FriedrichNaumannStiftungFreiheit/,@FNFreiheit,https://x.com/fnfreiheit
Heinrich-Böll-Stiftung (HBS),Grüne,@boellstiftung,https://www.instagram.com/boellstiftung/,boellstiftung,https://www.facebook.com/boellstiftung/,@BoellStiftung,https://x.com/boellstiftung
Rosa-Luxemburg-Stiftung (RLS),Linke,@rosaluxstiftung,https://www.instagram.com/rosaluxstiftung/,rosaluxstiftung,https://www.facebook.com/rosaluxstiftung,@rosaluxstiftung,https://x.com/rosaluxstiftung
Hanns-Seidel-Stiftung (HSS),CSU,@stiftungfuerdemokratie,https://www.instagram.com/stiftungfuerdemokratie/,HannsSeidel,https://www.facebook.com/HannsSeidel,@HSSde,https://x.com/hssde
Avicenna-Studienwerk,muslimisches Begabtenförderungswerk,@avicennastudienwerk,https://www.instagram.com/avicennastudienwerk/,AvicennaStudienwerk,https://www.facebook.com/AvicennaStudienwerk/,@AvicennaDE,https://x.com/avicennade
Desiderius-Erasmus-Stiftung (DES),AfD,nicht bekannt,,erasmusstiftung,https://www.facebook.com/erasmusstiftung/,@erasmusstiftung,https://x.com/erasmusstiftung
Cusanuswerk,Katholische Kirche,@cusanuswerk,https://www.instagram.com/cusanuswerk/,nicht bekannt,,@cusanuswerk,https://x.com/cusanuswerk
Studienstiftung des deutschen Volkes,parteiübergreifend / unabhängig,@studienstiftung,https://www.instagram.com/studienstiftung,studienstiftung,https://www.facebook.com/studienstiftung/,@studienstiftung,https://x.com/studienstiftung
Evangelisches Studienwerk Villigst,Evangelische Kirche,@evstudienwerk,https://www.instagram.com/evstudienwerk/,EvangelischesStudienwerkVilligst,https://www.facebook.com/EvangelischesStudienwerkVilligst,@villigst,https://x.com/villigst
Stiftung der Deutschen Wirtschaft (sdw),wirtschaftsnah,@sdw_stiftung,https://www.instagram.com/sdw_stiftung/,StiftungderDeutschenWirtschaft,https://www.facebook.com/StiftungderDeutschenWirtschaft,nicht bekannt,
Hans-Böckler-Stiftung,gewerkschaftsnah (DGB),@boeckler_stiftung,https://www.instagram.com/boeckler_stiftung/,hans.boeckler.stiftung,https://www.facebook.com/hans.boeckler.stiftung,@boeckler_de,https://x.com/boeckler_de
